Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-04-11_14;28;13_TolH_P3HT_DP240_JO_01.vdt
Sample ID	TolH P3HT DP240 JO
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Apr 11, 2019 - 14:28:13
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.89667	 3.189	17.729	110.370	84.964	-354.747	16.27491						
0.90000	 3.174	17.729	110.385	85.131	-354.762	16.27430						
0.90333	 3.220	17.729	110.416	85.223	-354.793	16.27552						
0.90667	 3.235	17.729	110.340	85.147	-354.854	16.27552						
0.91000	 3.113	17.729	110.172	85.009	-354.869	16.27491						
0.91333	 3.098	17.729	110.141	84.872	-354.869	16.27430						
0.91667	 3.143	17.729	110.111	84.765	-354.869	16.27430						
0.92000	 3.113	17.729	110.111	84.780	-354.823	16.27430						
0.92333	 3.113	17.729	110.187	84.979	-354.778	16.27430						
0.92667	 3.204	17.729	110.233	85.025	-354.778	16.27308						
0.93000	 3.159	17.729	110.263	85.055	-354.732	16.27247						
0.93333	 3.067	17.729	110.309	85.070	-354.732	16.27308						
0.93667	 3.128	17.729	110.279	85.086	-354.793	16.27369						
0.94000	 3.128	17.729	110.263	85.025	-354.839	16.27308						
0.94333	 3.098	17.729	110.233	85.086	-354.793	16.27247						
0.94667	 3.143	17.729	110.233	85.162	-354.762	16.27247						
0.95000	 3.174	24.909	110.233	85.116	-354.762	16.27247						
0.95333	 3.128	32.491	110.233	84.979	-354.762	16.27125						
0.95667	 3.113	40.074	110.141	84.872	-354.793	16.26942						
0.96000	 3.159	47.657	110.126	84.780	-354.854	16.26759						
0.96333	 3.174	55.240	110.126	84.719	-354.915	16.26637						
0.96667	 3.204	48.212	110.111	84.826	-354.930	16.26637						
0.97000	 3.220	40.629	110.111	84.887	-354.946	16.26575						
0.97333	 3.220	33.046	110.126	84.857	-354.961	16.26453						
0.97667	 3.143	25.463	110.218	84.872	-354.961	16.26453						
0.98000	 3.113	17.880	110.248	84.857	-354.915	16.26514						
0.98333	 3.143	21.364	110.263	84.796	-354.884	16.26575						
0.98667	 3.143	25.073	110.294	84.872	-354.900	16.26575						
0.99000	 3.143	28.782	110.309	84.979	-354.915	16.26514						
0.99333	 3.204	32.491	110.218	85.009	-354.900	16.26453						
0.99667	 3.204	36.200	110.248	84.994	-354.884	16.26514						
1.00000	 3.098	32.515	110.202	84.918	-354.884	16.26453						
1.00333	 3.098	28.806	110.218	84.857	-354.854	16.26392						
1.00667	 3.159	25.097	110.218	84.811	-354.778	16.26331						
1.01000	 3.143	21.388	110.248	84.841	-354.778	16.26392						
1.01333	 3.143	17.729	110.157	84.948	-354.839	16.26392						
1.01667	 3.235	17.729	110.157	85.009	-354.869	16.26392						
1.02000	 3.220	17.729	110.126	84.964	-354.900	16.26331						
1.02333	 3.098	17.729	110.111	84.933	-354.915	16.26331						
1.02667	 3.174	17.729	110.080	84.857	-354.900	16.26392						
1.03000	 3.204	17.729	110.202	84.933	-354.884	16.26453						
1.03333	 3.159	17.729	110.218	84.979	-354.869	16.26392						
1.03667	 3.174	17.729	110.172	85.070	-354.854	16.26331						
1.04000	 3.235	17.729	110.172	85.055	-354.854	16.26331						
1.04333	 3.113	17.729	110.202	84.899	-354.854	16.26392						
1.04667	 3.098	17.729	110.126	84.857	-354.884	16.26453						
1.05000	 3.174	17.729	110.126	84.811	-354.900	16.26453						
1.05333	 3.174	17.729	110.172	84.780	-354.869	16.26514						
1.05667	 3.189	17.729	110.187	84.933	-354.869	16.26698						
1.06000	 3.250	17.729	110.202	85.086	-354.854	16.26881						
1.06333	 3.220	17.963	110.187	85.086	-354.793	16.26942						
1.06667	 3.098	21.672	110.172	85.025	-354.778	16.27003						
1.07000	 3.113	25.381	110.218	85.025	-354.793	16.27064						
1.07333	 3.128	29.090	110.248	84.964	-354.778	16.27186						
1.07667	 3.113	32.799	110.157	84.887	-354.778	16.27308						
1.08000	 3.143	35.916	110.141	84.994	-354.778	16.27369						
1.08333	 3.204	32.207	110.172	85.177	-354.778	16.27369						
1.08667	 3.174	28.498	110.141	85.147	-354.778	16.27430						
1.09000	 3.128	24.789	110.080	85.055	-354.732	16.27552						
1.09333	 3.159	21.080	110.141	84.979	-354.717	16.27613						
1.09667	 3.159	18.086	110.157	84.902	-354.732	16.27491						
1.10000	 3.159	21.795	110.111	84.857	-354.701	16.27430						
1.10333	 3.174	25.504	110.172	84.948	-354.640	16.27491						
1.10667	 3.189	29.213	110.172	84.964	-354.656	16.27552						
1.11000	 3.113	32.922	110.126	84.964	-354.656	16.27491						
1.11333	 3.113	35.793	110.080	84.964	-354.656	16.27430						
1.11667	 3.128	32.084	110.202	84.994	-354.717	16.27430						
1.12000	 3.128	28.375	110.080	84.964	-354.762	16.27430						
1.12333	 3.143	24.666	110.141	85.131	-354.808	16.27430						
1.12667	 3.189	20.957	110.202	85.208	-354.839	16.27308						
1.13000	 3.174	18.209	110.233	85.177	-354.808	16.27308						
1.13333	 3.098	21.918	110.111	85.055	-354.793	16.27369						
1.13667	 3.113	25.627	110.141	84.994	-354.793	16.27491						
1.14000	 3.143	29.336	110.080	84.826	-354.747	16.27491						
1.14333	 3.143	33.045	110.141	84.765	-354.732	16.27430						
1.14667	 3.143	36.778	110.233	84.791	-354.762	16.27369						
